machine	theorem	file	tier	n	t	contexts
0RB0LC_1RC1LD_1LA0RB_1RB1RD	nqh_0RB0LC_1RC1LD_1LA0RB_1RB1RD	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	75
0RB0LC_1RC1LD_1LA0RB_1RD1RA	nqh_0RB0LC_1RC1LD_1LA0RB_1RD1RA	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	58
0RB0LC_1RC1RD_1LA0RB_1LB1RB	nqh_0RB0LC_1RC1RD_1LA0RB_1LB1RB	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	75
0RB0LC_1RC1RD_1LA0RB_1RB---	nqh_0RB0LC_1RC1RD_1LA0RB_1RBXXX	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	3	0	70
0RB0LD_0RC1RB_1RD0RD_1LA0RC	nqh_0RB0LD_0RC1RB_1RD0RD_1LA0RC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	73
0RB0LD_1LA1RC_0RD1RC_1RB0LA	nqh_0RB0LD_1LA1RC_0RD1RC_1RB0LA	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	741
0RB0LD_1LA1RC_0RD1RD_1RB1LA	nqh_0RB0LD_1LA1RC_0RD1RD_1RB1LA	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	197
0RB0LD_1LC1LA_1RB0RC_1RC1LD	nqh_0RB0LD_1LC1LA_1RB0RC_1RC1LD	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	282
0RB0LD_1LC1RB_1LA0RA_1RC1LD	nqh_0RB0LD_1LC1RB_1LA0RA_1RC1LD	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	684
0RB0LD_1RC0LB_1RD1RB_1LA0RC	nqh_0RB0LD_1RC0LB_1RD1RB_1LA0RC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	78
0RB0LD_1RC0LC_0RD0LA_1LD1RB	nqh_0RB0LD_1RC0LC_0RD0LA_1LD1RB	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	394
0RB0LD_1RC0RB_1RD1RB_1LA0RC	nqh_0RB0LD_1RC0RB_1RD1RB_1LA0RC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	91
0RB0LD_1RC0RC_1LD1RD_1RB1LA	nqh_0RB0LD_1RC0RC_1LD1RD_1RB1LA	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	220
0RB0LD_1RC1LB_1RD1RB_1LA0RC	nqh_0RB0LD_1RC1LB_1RD1RB_1LA0RC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	3	0	76
0RB0LD_1RC1RA_1RD1RA_1LA0LD	nqh_0RB0LD_1RC1RA_1RD1RA_1LA0LD	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	61
0RB0LD_1RC1RA_1RD1RB_1LA0LD	nqh_0RB0LD_1RC1RA_1RD1RB_1LA0LD	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	77
0RB0LD_1RC1RB_1LA1LC_1LB0LA	nqh_0RB0LD_1RC1RB_1LA1LC_1LB0LA	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	55
0RB0LD_1RC1RB_1LD0RC_0LB1LA	nqh_0RB0LD_1RC1RB_1LD0RC_0LB1LA	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	604
0RB0LD_1RC1RB_1RD0RA_1LA0RC	nqh_0RB0LD_1RC1RB_1RD0RA_1LA0RC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	96
0RB0LD_1RC1RB_1RD0RD_1LA0RC	nqh_0RB0LD_1RC1RB_1RD0RD_1LA0RC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	103
0RB0LD_1RC1RB_1RD1LB_1LA0RC	nqh_0RB0LD_1RC1RB_1RD1LB_1LA0RC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	75
0RB0LD_1RC1RB_1RD1RA_1LA0RC	nqh_0RB0LD_1RC1RB_1RD1RA_1LA0RC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	101
0RB0LD_1RC1RB_1RD1RB_1LA0RC	nqh_0RB0LD_1RC1RB_1RD1RB_1LA0RC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	77
0RB0RA_1LC0RA_0LD1RA_1RD0LC	nqh_0RB0RA_1LC0RA_0LD1RA_1RD0LC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	647
0RB0RA_1LC1LB_0LD1RA_1RD0LC	nqh_0RB0RA_1LC1LB_0LD1RA_1RD0LC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	789
0RB0RA_1RC1RD_1LD0RB_1RA0LC	nqh_0RB0RA_1RC1RD_1LD0RB_1RA0LC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	74
0RB0RB_1LC0LD_1RD0RA_1LB0RC	nqh_0RB0RB_1LC0LD_1RD0RA_1LB0RC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	58
0RB0RC_1LC1RA_1LD0LB_1RB1LC	nqh_0RB0RC_1LC1RA_1LD0LB_1RB1LC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	69
0RB0RD_1LC0LB_1RA0LC_1RB1RA	nqh_0RB0RD_1LC0LB_1RA0LC_1RB1RA	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	291
0RB0RD_1LC0LD_1RD0RA_1LB0RC	nqh_0RB0RD_1LC0LD_1RD0RA_1LB0RC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	69
0RB0RD_1RC1RA_1LB0LC_1LC1RD	nqh_0RB0RD_1RC1RA_1LB0LC_1LC1RD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	4	0	283
0RB1LA_0RC1LC_1RD0LB_0LA1RC	nqh_0RB1LA_0RC1LC_1RD0LB_0LA1RC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	55
0RB1LA_0RC1LC_1RD0LB_1LA1RC	nqh_0RB1LA_0RC1LC_1RD0LB_1LA1RC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	47
0RB1LA_1LA1RC_1RB0LD_0RC1LC	nqh_0RB1LA_1LA1RC_1RB0LD_0RC1LC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	52
0RB1LA_1LA1RC_1RB0LD_0RD1LC	nqh_0RB1LA_1LA1RC_1RB0LD_0RD1LC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	3	0	104
0RB1LA_1LA1RC_1RB0LD_1LC1LC	nqh_0RB1LA_1LA1RC_1RB0LD_1LC1LC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	49
0RB1LA_1LA1RC_1RB0LD_1RC1LC	nqh_0RB1LA_1LA1RC_1RB0LD_1RC1LC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	49
0RB1LA_1LA1RC_1RB0LD_1RD1LC	nqh_0RB1LA_1LA1RC_1RB0LD_1RD1LC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	3	0	95
0RB1LA_1LC0RA_0LD1RA_1RD0LC	nqh_0RB1LA_1LC0RA_0LD1RA_1RD0LC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	4	0	679
0RB1LA_1LC1LC_1RD0LB_0LA1RC	nqh_0RB1LA_1LC1LC_1RD0LB_0LA1RC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	45
0RB1LA_1LC1LC_1RD0LB_1LA1RC	nqh_0RB1LA_1LC1LC_1RD0LB_1LA1RC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	40
0RB1LA_1RC0LD_0LA1RB_1LB1LB	nqh_0RB1LA_1RC0LD_0LA1RB_1LB1LB	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	52
0RB1LA_1RC0LD_0LA1RB_1RB1LB	nqh_0RB1LA_1RC0LD_0LA1RB_1RB1LB	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	56
0RB1LA_1RC0LD_1LA1RB_0RB1LB	nqh_0RB1LA_1RC0LD_1LA1RB_0RB1LB	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	45
0RB1LA_1RC0LD_1LA1RB_0RD1LB	nqh_0RB1LA_1RC0LD_1LA1RB_0RD1LB	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	3	0	114
0RB1LA_1RC0LD_1LA1RB_1LB1LB	nqh_0RB1LA_1RC0LD_1LA1RB_1LB1LB	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	42
0RB1LA_1RC0LD_1LA1RB_1RB1LB	nqh_0RB1LA_1RC0LD_1LA1RB_1RB1LB	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	44
0RB1LA_1RC0LD_1LA1RB_1RD1LB	nqh_0RB1LA_1RC0LD_1LA1RB_1RD1LB	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	3	0	92
0RB1LA_1RC1LC_1RD0LB_0LA1RC	nqh_0RB1LA_1RC1LC_1RD0LB_0LA1RC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	49
0RB1LA_1RC1LC_1RD0LB_1LA1RC	nqh_0RB1LA_1RC1LC_1RD0LB_1LA1RC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	44
0RB1LA_1RC1RB_1LD1LA_0RB0LD	nqh_0RB1LA_1RC1RB_1LD1LA_0RB0LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	56
0RB1LA_1RC1RB_1LD1LA_0RC0LD	nqh_0RB1LA_1RC1RB_1LD1LA_0RC0LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	66
0RB1LB_1LA0RC_1RB0LD_1LC---	nqh_0RB1LB_1LA0RC_1RB0LD_1LCXXX	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	3	0	80
0RB1LB_1RC0LA_0LD1RB_0LA1LD	nqh_0RB1LB_1RC0LA_0LD1RB_0LA1LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	51
0RB1LB_1RC0LA_0LD1RB_0RA1LD	nqh_0RB1LB_1RC0LA_0LD1RB_0RA1LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	54
0RB1LB_1RC0LA_0LD1RB_0RC1LD	nqh_0RB1LB_1RC0LA_0LD1RB_0RC1LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	63
0RB1LB_1RC0LA_0LD1RB_1LA1LD	nqh_0RB1LB_1RC0LA_0LD1RB_1LA1LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	53
0RB1LB_1RC0LA_0LD1RB_1LB1LD	nqh_0RB1LB_1RC0LA_0LD1RB_1LB1LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	51
0RB1LB_1RC0LA_0LD1RB_1RA1LD	nqh_0RB1LB_1RC0LA_0LD1RB_1RA1LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	54
0RB1LB_1RC0LA_0LD1RB_1RB1LD	nqh_0RB1LB_1RC0LA_0LD1RB_1RB1LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	55
0RB1LB_1RC0LA_0LD1RB_1RC1LD	nqh_0RB1LB_1RC0LA_0LD1RB_1RC1LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	51
0RB1LB_1RC0LA_1LD1RB_0LA1LD	nqh_0RB1LB_1RC0LA_1LD1RB_0LA1LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	44
0RB1LB_1RC0LA_1LD1RB_0RA1LD	nqh_0RB1LB_1RC0LA_1LD1RB_0RA1LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	46
0RB1LB_1RC0LA_1LD1RB_0RB1LD	nqh_0RB1LB_1RC0LA_1LD1RB_0RB1LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	45
0RB1LB_1RC0LA_1LD1RB_0RC1LD	nqh_0RB1LB_1RC0LA_1LD1RB_0RC1LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	50
0RB1LB_1RC0LA_1LD1RB_1LA1LD	nqh_0RB1LB_1RC0LA_1LD1RB_1LA1LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	46
0RB1LB_1RC0LA_1LD1RB_1LB1LD	nqh_0RB1LB_1RC0LA_1LD1RB_1LB1LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	44
0RB1LB_1RC0LA_1LD1RB_1RA1LD	nqh_0RB1LB_1RC0LA_1LD1RB_1RA1LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	47
0RB1LB_1RC0LA_1LD1RB_1RB1LD	nqh_0RB1LB_1RC0LA_1LD1RB_1RB1LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	45
0RB1LB_1RC0LA_1LD1RB_1RC1LD	nqh_0RB1LB_1RC0LA_1LD1RB_1RC1LD	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	44
0RB1LB_1RC0LB_0RD---_1LD1LA	nqh_0RB1LB_1RC0LB_0RDXXX_1LD1LA	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	4	0	225
0RB1LC_0LC1RB_1LA0RD_1LC1RC	nqh_0RB1LC_0LC1RB_1LA0RD_1LC1RC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	57
0RB1LC_0LC1RB_1LA0RD_1RC1RC	nqh_0RB1LC_0LC1RB_1LA0RD_1RC1RC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	53
0RB1LC_1LA1RB_0LD0LC_0RD1RA	nqh_0RB1LC_1LA1RB_0LD0LC_0RD1RA	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	4	0	229
0RB1LC_1LA1RB_1LA0RD_0LC1RC	nqh_0RB1LC_1LA1RB_1LA0RD_0LC1RC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	47
0RB1LC_1LA1RB_1LA0RD_0LD1RC	nqh_0RB1LC_1LA1RB_1LA0RD_0LD1RC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	3	0	101
0RB1LC_1LA1RB_1LA0RD_1LC1RC	nqh_0RB1LC_1LA1RB_1LA0RD_1LC1RC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	48
0RB1LC_1LA1RB_1LA0RD_1LD1RC	nqh_0RB1LC_1LA1RB_1LA0RD_1LD1RC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	3	0	97
0RB1LC_1LA1RB_1LA0RD_1RC1RC	nqh_0RB1LC_1LA1RB_1LA0RD_1RC1RC	theories/Machines/ListCStage/LCStage_01.v	R_NeverQH	2	0	46
0RB1LC_1LC0RD_1LD0LB_1RB1RA	nqh_0RB1LC_1LC0RD_1LD0LB_1RB1RA	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	68
0RB1LC_1LC1RB_1LA0RD_0LC1RC	nqh_0RB1LC_1LC1RB_1LA0RD_0LC1RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	46
0RB1LC_1LC1RB_1LA0RD_0LD1RC	nqh_0RB1LC_1LC1RB_1LA0RD_0LD1RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	3	0	104
0RB1LC_1LC1RB_1LA0RD_1LC1RC	nqh_0RB1LC_1LC1RB_1LA0RD_1LC1RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	45
0RB1LC_1LC1RB_1LA0RD_1LD1RC	nqh_0RB1LC_1LC1RB_1LA0RD_1LD1RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	3	0	95
0RB1LC_1LC1RB_1LA0RD_1RC1RC	nqh_0RB1LC_1LC1RB_1LA0RD_1RC1RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	43
0RB1LC_1RC0LD_1LA0RB_1LB---	nqh_0RB1LC_1RC0LD_1LA0RB_1LBXXX	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	3	0	68
0RB1LC_1RC0LD_1LA1LD_1RA0LD	nqh_0RB1LC_1RC0LD_1LA1LD_1RA0LD	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	4	0	202
0RB1LC_1RC1RB_1LA0RD_0LC1RC	nqh_0RB1LC_1RC1RB_1LA0RD_0LC1RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	43
0RB1LC_1RC1RB_1LA0RD_0LD1RC	nqh_0RB1LC_1RC1RB_1LA0RD_0LD1RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	3	0	98
0RB1LC_1RC1RB_1LA0RD_1LC1RC	nqh_0RB1LC_1RC1RB_1LA0RD_1LC1RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	45
0RB1LC_1RC1RB_1LA0RD_1LD1RC	nqh_0RB1LC_1RC1RB_1LA0RD_1LD1RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	3	0	95
0RB1LC_1RC1RB_1LA0RD_1RC1RC	nqh_0RB1LC_1RC1RB_1LA0RD_1RC1RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	43
0RB1LC_1RC1RB_1LD1LA_0RC0LD	nqh_0RB1LC_1RC1RB_1LD1LA_0RC0LD	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	67
0RB1LD_0LC1RB_0LD1RD_1LA0RC	nqh_0RB1LD_0LC1RB_0LD1RD_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	56
0RB1LD_0LC1RB_1LD1RD_1LA0RC	nqh_0RB1LD_0LC1RB_1LD1RD_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	50
0RB1LD_0LC1RB_1RD1RD_1LA0RC	nqh_0RB1LD_0LC1RB_1RD1RD_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	46
0RB1LD_0RC1RB_0LD1RD_1LA0RC	nqh_0RB1LD_0RC1RB_0LD1RD_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	53
0RB1LD_0RC1RB_1LD1RD_1LA0RC	nqh_0RB1LD_0RC1RB_1LD1RD_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	45
0RB1LD_0RC1RB_1RD1RD_1LA0RC	nqh_0RB1LD_0RC1RB_1RD1RD_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	41
0RB1LD_1LC0LA_1RD0LB_1LA0RC	nqh_0RB1LD_1LC0LA_1RD0LB_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	84
0RB1LD_1LC0LB_1RD0LB_1LA0RC	nqh_0RB1LD_1LC0LB_1RD0LB_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	62
0RB1LD_1LC0RC_1RD0LB_1LA0RC	nqh_0RB1LD_1LC0RC_1RD0LB_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	61
0RB1LD_1LC0RD_1RD0LB_1LA0RC	nqh_0RB1LD_1LC0RD_1RD0LB_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	68
0RB1LD_1LC1LB_1RD0LB_1LA0RC	nqh_0RB1LD_1LC1LB_1RD0LB_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	3	0	67
0RB1LD_1LC1LC_1RD0LB_1LA0RC	nqh_0RB1LD_1LC1LC_1RD0LB_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	61
0RB1LD_1LC1RA_1RD0LB_1LA0RC	nqh_0RB1LD_1LC1RA_1RD0LB_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	75
0RB1LD_1LC1RB_0LD1RD_1LA0RC	nqh_0RB1LD_1LC1RB_0LD1RD_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	79
0RB1LD_1LC1RB_1LD1RD_1LA0RC	nqh_0RB1LD_1LC1RB_1LD1RD_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	47
0RB1LD_1LC1RB_1RD0LB_1LA0RC	nqh_0RB1LD_1LC1RB_1RD0LB_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	3	0	119
0RB1LD_1LC1RB_1RD1RD_1LA0RC	nqh_0RB1LD_1LC1RB_1RD1RD_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	45
0RB1LD_1LC1RC_1RD0LB_1LA0RC	nqh_0RB1LD_1LC1RC_1RD0LB_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	72
0RB1LD_1LC1RD_1RD0LB_1LA0RC	nqh_0RB1LD_1LC1RD_1RD0LB_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	58
0RB1LD_1RC0LA_1LB0RD_1RB1LA	nqh_0RB1LD_1RC0LA_1LB0RD_1RB1LA	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	4	0	74
0RB1LD_1RC0LA_1LD0RD_1RB1LA	nqh_0RB1LD_1RC0LA_1LD0RD_1RB1LA	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	4	0	77
0RB1LD_1RC1RB_0LC1RD_1LA0RC	nqh_0RB1LD_1RC1RB_0LC1RD_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	3	0	101
0RB1LD_1RC1RB_0LD1RD_1LA0RC	nqh_0RB1LD_1RC1RB_0LD1RD_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	58
0RB1LD_1RC1RB_1LA1LC_0RC0LD	nqh_0RB1LD_1RC1RB_1LA1LC_0RC0LD	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	63
0RB1LD_1RC1RB_1LC1RD_1LA0RC	nqh_0RB1LD_1RC1RB_1LC1RD_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	3	0	100
0RB1LD_1RC1RB_1LD1RD_1LA0RC	nqh_0RB1LD_1RC1RB_1LD1RD_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	48
0RB1LD_1RC1RB_1RD1RD_1LA0RC	nqh_0RB1LD_1RC1RB_1RD1RD_1LA0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	45
0RB1LD_1RC1RD_1LA1RC_1RB0LA	nqh_0RB1LD_1RC1RD_1LA1RC_1RB0LA	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	59
0RB1RA_0LC1RC_1LD0RB_0RA1LC	nqh_0RB1RA_0LC1RC_1LD0RB_0RA1LC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	52
0RB1RA_0LC1RC_1LD0RB_1RA1LC	nqh_0RB1RA_0LC1RC_1LD0RB_1RA1LC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	45
0RB1RA_1LC0LD_1RD0RA_1LB0RC	nqh_0RB1RA_1LC0LD_1RD0RA_1LB0RC	theories/Machines/ListCStage/LCStage_02.v	R_NeverQH	2	0	83
