rep	list	mult	mode	verdict	prover	cert_type	qh	score	boardable	checker	n_provers_caught	all_catches
1RB---_0LB0RC_1LD0RD_1RC0LC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0RC_1LD1RC_0RC0LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0RC_1LD1RC_0RC1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0RC_1RD0LD_1LC0RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0RC_1RD0RD_1LD1RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0RC_1RD1LC_0LC0RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0RC_1RD1LC_0LC1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_0LD0LC_1RD0LB	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_0LD0LC_1RD0RB	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_0LD0LC_1RD1LB	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_0LD0LC_1RD1LC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_0LD0LC_1RD1RB	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_0LD0RB_1RC1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_0LD0RC_1RC1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_0LD1LC_1RD0RB	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_0LD1RC_1RC1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_0RC1LD_1RC0LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_0RC1RD_1LB0RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_0RD0LC_1LC1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_0RD0RC_1LD1RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_0RD1LC_1LB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_0RD1LC_1LC1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_0RD1LC_1RB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_0RD1RC_1LB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1LD0LD_1RD1LC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1LD0RB_1RC0LC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1LD1RC_0RC0LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1LD1RC_0RC1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RB0LD_1RC0LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RC1LD_0LC0LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RC1LD_1LC0LC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RC1LD_1RC0LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RC1RD_1RB0RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LB_0LB1RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LB_0RB1RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LB_1LD1RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_0LB1RB	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_0LB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_0LD1RB	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_0RB1LC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_0RB1RB	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_0RB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_0RD1LC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_0RD1RB	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_1LB0RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_1LB1RB	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_1LB1RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_1LB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_1RB0LC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_1RB0RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_1RB1LC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_1RB1RA	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	6	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_1RB1RB	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_1RB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_1RD1LC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LC_1RD1RB	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0LD_1LC0RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0RC_1LB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD0RD_1LB0RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD1LB_0LC0RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD1LB_1LC1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD1LB_1RB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD1LC_0LB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD1LC_0LC0RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1LC_1RD1LC_0LC1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0LC1LD_1RB0LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0LC1RD_1LC0RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0LD0LC_1RD1LC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0LD0RC_1RB1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0LD0RC_1RC1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0LD0RD_1LB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0LD0RD_1RB1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0LD1RB_1RB1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0LD1RB_1RC1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0LD1RC_1RB1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0LD1RC_1RC1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0RD---_1LB0RC	C	1	direct1	QH	quietfar	wrapfar	T	1	N	wrapfar(QH,no-checker)	1	quietfar=wrapfar/qhT
1RB---_0LB1RC_0RD---_1LB0RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0RD0LB_1LC1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0RD0LC_1LC1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0RD0RC_1LB1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0RD0RC_1LD0RB	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0RD0RC_1LD1RB	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0RD0RC_1LD1RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0RD0RD_1LB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0RD1LC_1LB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_0RD1LC_1LC1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LB0RD_0RC---	C	1	direct1	QH	quietfar	wrapfar	T	1	N	wrapfar(QH,no-checker)	1	quietfar=wrapfar/qhT
1RB---_0LB1RC_1LB0RD_1LB0RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LB0RD_1LB0RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LB0RD_1LB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LB0RD_1LC0RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LB0RD_1LC0RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LB1RD_0RC0RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LC0RD_1LB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LC1LD_1RB0LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LC1RD_0RC0RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LC1RD_1LB0RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LC1RD_1LC0RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LC1RD_1RC0RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LD0LC_1RB1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LD0RC_0LB1RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LD0RC_0LD1RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LD0RC_0RB1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LD0RC_1LB1RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LD0RC_1LB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LD0RC_1LD1RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LD0RC_1RB0LC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LD0RC_1RB1LC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LD0RC_1RB1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LD0RD_1LB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LD0RD_1RC0LC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LD1RA_0RA0LD	C	2	direct1/reroot	undecided	-	-	-	-	N	-	0	
1RB---_0LB1RC_1LD1RB_0RB1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LD1RB_0RC0LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LD1RC_0RB1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LD1RC_0RC0LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1LD1RC_0RC1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1RD0RC_1LD1LB	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1RD0RD_1LB0LB	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1RD0RD_1LB0RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1RD0RD_1LB1RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1RD0RD_1LB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1RD0RD_1LD1RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1RD1LC_0LC0RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1RD1LC_0LC1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB1RC_1RD1LD_1LB0RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
