rep	mult	verdict	prover	cert_type	qh	score	boardable	checker	n_caught	all
1RB---_1RC1LD_1LB1RC_---1LB	3	QH	rwlrank	wraprwl	T	1	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT
1RB0LA_0LC0RB_1LC0RD_1LA1RD	1	undecided	-	-	-	-	N	-	0	
1RB0LA_0RC0RB_1LC0LD_1RA1LD	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	irules=irules/qhF;bouncer=bouncer/qhF
1RB0LA_0RC1LA_0RD1LA_1LD0RC	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB0LA_0RC1LD_1LD0LA_1LB1LA	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB0LA_0RC1RA_0LD0RB_1LD1LB	1	undecided	-	-	-	-	N	-	0	
1RB0LA_1LC0LC_1LA0RD_1RD0RB	1	undecided	-	-	-	-	N	-	0	
1RB0LA_1LC0RD_1LA0LC_1LA1RA	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB0LA_1LC1LA_1RD0LB_1LA0RC	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB0LA_1LC1RA_0RC0LD_1RD0LB	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB0LA_1LC1RD_1LA0RC_1RC---	1	undecided	-	-	-	-	N	-	0	
1RB0LA_1RC1RA_1LD0RB_0RA0LC	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB0LB_0LB1RC_1RD0RC_1LA0LC	1	undecided	-	-	-	-	N	-	0	
1RB0LB_0LC0LA_1RC1LD_1LA1RD	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB0LB_1LA0LC_0LB0RD_1RD1LA	1	undecided	-	-	-	-	N	-	0	
1RB0LB_1LA0RC_0RD0RB_1LD1RC	1	QH	rwlrank	wraprwl	T	5	N	wraprwl(QH,no-checker)	2	rwlrank=wraprwl/qhT;irules=irules/qhT
1RB0LB_1LC0LA_1LB1RD_1RC0RC	1	undecided	-	-	-	-	N	-	0	
1RB0LB_1LC0LC_0RA1RD_1LA0RD	2	undecided	-	-	-	-	N	-	0	
1RB0LB_1LC1RD_0RA0LC_1LB0RD	2	undecided	-	-	-	-	N	-	0	
1RB0LB_1RC1LB_0LD0RC_1RD1LA	1	neverQH	ngram_rank	neverqh_rank	F	-	N	neverqh_rank	1	ngram_rank=neverqh_rank/qhF
1RB0LB_1RC1LD_1RD0RC_1LB1LA	1	undecided	-	-	-	-	N	-	0	
1RB0LC_0LA1LC_1RD0LB_0LB1RC	3	QH	rwlrank	wraprwl	T	3	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;bouncer=bouncer/qhT
1RB0LC_0LA1RD_1LD1LA_0RB---	3	undecided	-	-	-	-	N	-	0	
1RB0LC_0LC0RD_1LC1LA_1RA1LA	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	irules=irules/qhF;bouncer=bouncer/qhF
1RB0LC_0RC0RD_1LB0LD_1LA1RD	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB0LC_0RC0RD_1LC1LA_1RA1LB	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	3	ngram_rank=neverqh_rank/qhF;irules=irules/qhF;bouncer=bouncer/qhF
1RB0LC_1LA---_1RC1LD_1RD0LA	1	QH	ngram_quiet	wrapngram	T	2	Y	wrap(Wrap.v)	3	ngram_quiet=wrapngram/qhT;rwlrank=wraprwl/qhT;irules=irules/qhT
1RB0LC_1LA---_1RD1LC_0RD0LA	1	undecided	-	-	-	-	N	-	0	
1RB0LC_1LA0LC_0LB0RD_1RD0RC	1	undecided	-	-	-	-	N	-	0	
1RB0LC_1LA0LD_1RC1LB_0LB0RC	1	undecided	-	-	-	-	N	-	0	
1RB0LC_1LA0RD_1LB1RD_0LB1RC	1	neverQH	ngram_rank	neverqh_rank	F	-	N	neverqh_rank	1	ngram_rank=neverqh_rank/qhF
1RB0LC_1LA1LC_1LB0RD_0LC1RD	1	undecided	-	-	-	-	N	-	0	
1RB0LC_1LA1LD_0RD1LA_1LC1RD	1	undecided	-	-	-	-	N	-	0	
1RB0LC_1LA1RA_0LD0LA_0RD1RA	1	undecided	-	-	-	-	N	-	0	
1RB0LC_1LA1RC_1LD0RB_0RC0LD	1	undecided	-	-	-	-	N	-	0	
1RB0LC_1LA1RD_0LB1LD_1RD0LA	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB0LC_1LC---_1RD0LB_0RD0LA	1	undecided	-	-	-	-	N	-	0	
1RB0LC_1LC0RB_1LD0LD_0RA1RA	2	undecided	-	-	-	-	N	-	0	
1RB0LC_1LC0RC_1LA1RD_0RA1LA	2	neverQH	irules	irules	F	0	Y	irules(neverqh)	3	ngram_rank=neverqh_rank/qhF;irules=irules/qhF;bouncer=bouncer/qhF
1RB0LC_1LC0RC_1LA1RD_0RA1LD	2	neverQH	irules	irules	F	0	Y	irules(neverqh)	3	ngram_rank=neverqh_rank/qhF;irules=irules/qhF;bouncer=bouncer/qhF
1RB0LC_1RC0RA_1LA0LD_1LC1LB	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB0LC_1RC0RC_1LA1RD_1LC0RA	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB0LC_1RC1LB_1LA1RD_1LB0RB	1	QH	rwlrank	wraprwl	T	4	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT
1RB0LC_1RC1LD_1RD0RB_0LB1LA	1	QH	ngram_quiet	wrapngram	T	1459	Y	wrap(Wrap.v)	5	ngram_quiet=wrapngram/qhT;rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT;quietctl=wrapctl/qhT
1RB0LC_1RC1RD_0RD1LC_1LA1RD	1	QH	irules	irules	T	2	N	irules(QH,no-checker)	1	irules=irules/qhT
1RB0LD_0LB1LC_1LA1RC_0RC1LD	1	QH	irules	irules	T	2	N	irules(QH,no-checker)	1	irules=irules/qhT
1RB0LD_0LC0RA_1LD1LC_1LA0LA	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB0LD_0LC1RA_0RA1LC_1LA1LA	2	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB0LD_0LC1RA_0RD1LC_0RA1LA	4	neverQH	ngram_rank	neverqh_rank	F	-	N	neverqh_rank	1	ngram_rank=neverqh_rank/qhF
1RB0LD_0LC1RA_1LA1LA_0RB1LD	1	undecided	-	-	-	-	N	-	0	
1RB0LD_0RC0RD_0LD1RA_1LA0LC	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB0LD_0RC1LB_1LA1RC_0RC1LD	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB0LD_1LB0RC_1RC1LD_1LA0RB	1	undecided	-	-	-	-	N	-	0	
1RB0LD_1LB1LC_1RC0LA_1RD1LC	1	QH	ngram_quiet	wrapngram	T	3	Y	wrap(Wrap.v)	3	ngram_quiet=wrapngram/qhT;rwlrank=wraprwl/qhT;irules=irules/qhT
1RB0LD_1LB1RC_0RC1RD_1LA0LD	1	undecided	-	-	-	-	N	-	0	
1RB0LD_1LC0RA_1RC1LA_0LC0LA	1	QH	rwlrank	wraprwl	T	15	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT
1RB0LD_1LC0RC_1LC1LA_1RD0RB	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB0LD_1LC1LD_0RA1LB_1RC0LA	2	neverQH	ngram_rank	neverqh_rank	F	-	N	neverqh_rank	1	ngram_rank=neverqh_rank/qhF
1RB0LD_1LC1RA_0RB0LC_0LB1RD	1	undecided	-	-	-	-	N	-	0	
1RB0LD_1LC1RA_0RB0LC_0RB1LD	1	undecided	-	-	-	-	N	-	0	
1RB0LD_1LC1RA_0RB0LC_1RC0RD	1	undecided	-	-	-	-	N	-	0	
1RB0LD_1LC1RA_0RB1LC_0RA1LA	2	neverQH	ngram_rank	neverqh_rank	F	-	N	neverqh_rank	1	ngram_rank=neverqh_rank/qhF
1RB0LD_1LC1RA_1LA1LB_0RB1LD	1	undecided	-	-	-	-	N	-	0	
1RB0LD_1LC1RA_1LD0LD_0RB1LD	1	undecided	-	-	-	-	N	-	0	
1RB0LD_1LC1RA_1LD1LC_0RB1LD	1	undecided	-	-	-	-	N	-	0	
1RB0LD_1LC1RA_1LD1RC_0RC1LA	1	undecided	-	-	-	-	N	-	0	
1RB0LD_1LC1RA_1RA1LC_0RD1LA	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB0LD_1LC1RA_1RB1LB_0RA1LD	2	undecided	-	-	-	-	N	-	0	
1RB0LD_1LC1RB_1LD1RC_0RC1LA	1	undecided	-	-	-	-	N	-	0	
1RB0LD_1LC1RC_1LA1RD_1RD0RB	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB0LD_1RC0LA_1LB0RB_1LC0LB	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB0LD_1RC0LC_1LA0RD_1RC1LB	1	neverQH	ngram_rank	neverqh_rank	F	-	N	neverqh_rank	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhT
1RB0LD_1RC1LB_0LA1RD_1LB0RB	2	QH	rwlrank	wraprwl	T	8	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT
1RB0LD_1RC1LB_1LA1RC_0RC1LD	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB0LD_1RC1LB_1LA1RD_1LB0RB	1	QH	rwlrank	wraprwl	T	4	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT
1RB0LD_1RC1RA_0LD0RC_1LD1LB	1	QH	rwlrank	wraprwl	T	6	N	wraprwl(QH,no-checker)	5	rwlrank=wraprwl/qhT;irules=irules/qhT;bouncer=bouncer/qhT;quietfar=wrapfar/qhT;quietctl=wrapctl/qhT
1RB0LD_1RC1RA_1LA0RC_0RB1LD	1	undecided	-	-	-	-	N	-	0	
1RB0LD_1RC1RA_1LC0LD_0RA1LD	2	undecided	-	-	-	-	N	-	0	
1RB0LD_1RC1RA_1LC0RA_1LA0LC	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB0LD_1RC1RA_1LC1LD_0RB1LD	1	undecided	-	-	-	-	N	-	0	
1RB0RA_0LC---_1LD0LD_1RA1LC	1	undecided	-	-	-	-	N	-	0	
1RB0RA_0RC0LA_1LD0RC_0LD1LA	1	undecided	-	-	-	-	N	-	0	
1RB0RA_1LC1RA_1LD0LC_0RA---	2	undecided	-	-	-	-	N	-	0	
1RB0RA_1RC0LC_1LD1RC_1RA1LB	1	QH	rwlrank	wraprwl	T	9	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT
1RB0RB_0LC0RA_1LC0LD_1RA1LD	1	undecided	-	-	-	-	N	-	0	
1RB0RB_0LC0RA_1LD1RC_1RA1LC	1	undecided	-	-	-	-	N	-	0	
1RB0RB_0RC0LD_0RD0RA_1LD1RB	1	undecided	-	-	-	-	N	-	0	
1RB0RB_0RC0LD_0RD0RB_1LD1RA	1	undecided	-	-	-	-	N	-	0	
1RB0RB_0RC0RA_1LD1LC_0LD1RB	1	undecided	-	-	-	-	N	-	0	
1RB0RB_0RC1RC_1LD0RC_0LD1LA	1	undecided	-	-	-	-	N	-	0	
1RB0RB_1LA1LC_1RD0LB_0LB1RC	1	QH	rwlrank	wraprwl	T	3	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;bouncer=bouncer/qhT
1RB0RB_1LA1LC_1RD0LC_0RD0LA	1	undecided	-	-	-	-	N	-	0	
1RB0RB_1LA1RC_1LD0RB_0RB1LC	1	QH	rwlrank	wraprwl	T	3	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;bouncer=bouncer/qhT
1RB0RB_1LA1RC_1LD0RB_1RD1LC	1	QH	rwlrank	wraprwl	T	3	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;bouncer=bouncer/qhT
1RB0RB_1LB1RC_1LA1LD_0RC0LD	1	undecided	-	-	-	-	N	-	0	
1RB0RB_1LC0RB_0LD1RA_1LC1RB	1	undecided	-	-	-	-	N	-	0	
1RB0RB_1LC0RB_1LD1RB_0LC1RA	1	undecided	-	-	-	-	N	-	0	
1RB0RB_1LC1LD_1LA1RC_0RA0LD	2	undecided	-	-	-	-	N	-	0	
1RB0RB_1LC1RA_0LC0LD_0RA0RD	2	undecided	-	-	-	-	N	-	0	
1RB0RB_1LC1RC_1RA1LD_1LC0LC	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB0RB_1LC1RD_0RD0LC_1LA0LA	1	undecided	-	-	-	-	N	-	0	
1RB0RB_1LC1RD_1RA0LB_1LC1RA	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB0RB_1RC0LA_1LD0RC_0LD1LA	1	undecided	-	-	-	-	N	-	0	
1RB0RB_1RC1LB_1LA1RD_1LB1RC	1	QH	rwlrank	wraprwl	T	18	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT
1RB0RC_0LA1RC_1LA1LD_0LD0RB	2	undecided	-	-	-	-	N	-	0	
1RB0RC_0LA1RD_1RD1LC_1LC1RB	2	QH	rwlrank	wraprwl	T	3	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT
1RB0RC_0LB1LA_0LB1RD_1LC0RD	1	undecided	-	-	-	-	N	-	0	
1RB0RC_0LB1LA_0RD1RD_1LB0RC	1	undecided	-	-	-	-	N	-	0	
1RB0RC_0LC0RA_0LD1RC_1LA1LD	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB0RC_0LC1LA_0LB1RD_1LB0RD	1	undecided	-	-	-	-	N	-	0	
1RB0RC_0LC1LA_1LC1RD_1LB0RD	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB0RC_0LC1RD_0LB1LA_1LC0RD	1	undecided	-	-	-	-	N	-	0	
1RB0RC_0RC0LD_1LD0RB_1LD1RA	1	undecided	-	-	-	-	N	-	0	
1RB0RC_1LA0RD_1LC1RD_0RC0RB	1	QH	rwlrank	wraprwl	T	3	N	wraprwl(QH,no-checker)	2	rwlrank=wraprwl/qhT;irules=irules/qhT
1RB0RC_1LA1LC_1LB0RD_0LB1RD	1	undecided	-	-	-	-	N	-	0	
1RB0RC_1LA1LD_0RC1LA_1RC0LD	1	undecided	-	-	-	-	N	-	0	
1RB0RC_1LA1RC_0RC1LD_1LA0LD	1	undecided	-	-	-	-	N	-	0	
1RB0RC_1LB1RA_1LD1RC_1LB0LD	1	neverQH	ngram_rank	neverqh_rank	F	-	N	neverqh_rank	1	ngram_rank=neverqh_rank/qhF
1RB0RC_1LC0LD_1RA0LB_0LA0RA	2	neverQH	ngram_rank	neverqh_rank	F	-	N	neverqh_rank	1	ngram_rank=neverqh_rank/qhF
1RB0RC_1LC0RC_1RD1LC_1LA1RB	1	QH	rwlrank	wraprwl	T	9	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT
1RB0RC_1LC0RD_1LD0LB_1RB1RA	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB0RC_1LC1LD_1RA0LB_1LD1LA	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB0RC_1LC1RA_1RD1LB_0LC0RD	1	undecided	-	-	-	-	N	-	0	
1RB0RC_1RC1LB_0LB1RD_0LA0RC	2	undecided	-	-	-	-	N	-	0	
1RB0RD_0LB0LC_1RD1LC_0LC1RA	1	undecided	-	-	-	-	N	-	0	
1RB0RD_0LB1LC_1RD1LC_0LC1RA	1	undecided	-	-	-	-	N	-	0	
1RB0RD_0LB1RC_1RD1LA_1LB0RD	1	undecided	-	-	-	-	N	-	0	
1RB0RD_0LC---_1RA1LC_0LC1RD	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB0RD_0LC1RA_1LB1RD_1LB0RD	1	undecided	-	-	-	-	N	-	0	
1RB0RD_0RC0RA_1LC0LA_0RB0RA	1	neverQH	ngram_rank	neverqh_rank	F	-	N	neverqh_rank	1	ngram_rank=neverqh_rank/qhF
1RB0RD_1LB1LC_1RA1LC_0LC1RD	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB0RD_1LB1RC_1RA1LD_0RC0LD	1	undecided	-	-	-	-	N	-	0	
1RB0RD_1LC0LC_1LD0LB_1RD0RA	1	undecided	-	-	-	-	N	-	0	
1RB0RD_1LC0RA_1LA0LB_1RD0RC	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB0RD_1LC1RA_0RB0LC_0LD0RB	1	undecided	-	-	-	-	N	-	0	
1RB0RD_1LC1RA_0RB0LC_1LB1LA	1	undecided	-	-	-	-	N	-	0	
1RB0RD_1LC1RA_0RB0LC_1LD1LC	1	undecided	-	-	-	-	N	-	0	
1RB0RD_1LC1RD_1LA0LC_0RD1LC	1	undecided	-	-	-	-	N	-	0	
1RB0RD_1RC1LA_0RD0RC_1LD1LB	1	QH	rwlrank	wraprwl	T	10	N	wraprwl(QH,no-checker)	4	rwlrank=wraprwl/qhT;irules=irules/qhT;bouncer=bouncer/qhT;quietctl=wrapctl/qhT
1RB0RD_1RC1LC_0LA1RA_1LD0RB	2	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB0RD_1RC1RA_0LD0RC_1LD1LB	1	QH	rwlrank	wraprwl	T	6	N	wraprwl(QH,no-checker)	5	rwlrank=wraprwl/qhT;irules=irules/qhT;bouncer=bouncer/qhT;quietfar=wrapfar/qhT;quietctl=wrapctl/qhT
1RB1LA_0LA0RC_0LD0RB_1LD1RC	2	undecided	-	-	-	-	N	-	0	
1RB1LA_0LA0RC_0RD1RB_1LD1LB	2	neverQH	ngram_rank	neverqh_rank	F	-	N	neverqh_rank	1	ngram_rank=neverqh_rank/qhF
1RB1LA_0LA1LC_1RD0LC_0RD0RB	2	undecided	-	-	-	-	N	-	0	
1RB1LA_0LA1RC_0LD0RB_---0RB	10	undecided	-	-	-	-	N	-	0	
1RB1LA_0LA1RC_0LD0RB_---1RB	10	undecided	-	-	-	-	N	-	0	
1RB1LA_0LA1RC_0LD0RB_0LC1RD	2	undecided	-	-	-	-	N	-	0	
1RB1LA_0LA1RC_0LD0RB_1LA1LD	2	undecided	-	-	-	-	N	-	0	
1RB1LA_0LA1RC_0RD0RB_0LD1LB	2	undecided	-	-	-	-	N	-	0	
1RB1LA_0LA1RC_0RD0RB_1LB1RD	2	undecided	-	-	-	-	N	-	0	
1RB1LA_0LA1RC_0RD0RB_1LC0LB	2	undecided	-	-	-	-	N	-	0	
1RB1LA_0LA1RC_0RD0RB_1LC1RA	2	undecided	-	-	-	-	N	-	0	
1RB1LA_0LA1RC_0RD0RB_1RA---	2	undecided	-	-	-	-	N	-	0	
1RB1LA_0LA1RC_1LD0RB_0LA1RD	3	undecided	-	-	-	-	N	-	0	
1RB1LA_0LA1RC_1LD0RB_1RA1LD	2	undecided	-	-	-	-	N	-	0	
1RB1LA_0LA1RC_1RD0RB_0LC---	2	undecided	-	-	-	-	N	-	0	
1RB1LA_0LC0RB_1LD1RC_0RA1LC	2	undecided	-	-	-	-	N	-	0	
1RB1LA_0LC1RD_---1LA_1LA0RA	5	QH	rwlrank	wraprwl	T	3	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT
1RB1LA_0LC1RD_0RD0LC_1LA0RA	1	QH	rwlrank	wraprwl	T	4	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT
1RB1LA_0LC1RD_0RD0RC_1LA0RA	1	QH	rwlrank	wraprwl	T	4	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT
1RB1LA_0LC1RD_1LA0LB_1LA0RA	1	QH	rwlrank	wraprwl	T	5	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT
1RB1LA_0LC1RD_1LA1LB_0LA0RB	2	undecided	-	-	-	-	N	-	0	
1RB1LA_0LC1RD_1LA1RD_0LA0RB	2	undecided	-	-	-	-	N	-	0	
1RB1LA_0LC1RD_1LD1LC_1LA0RA	1	QH	rwlrank	wraprwl	T	4	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT
1RB1LA_0LC1RD_1RA1LA_0LA0RB	2	undecided	-	-	-	-	N	-	0	
1RB1LA_0RC0RB_0LC1LD_1RC0LA	1	neverQH	ngram_rank	neverqh_rank	F	-	N	neverqh_rank	1	ngram_rank=neverqh_rank/qhF
1RB1LA_0RC0RB_0LD0LA_1LD0LA	1	neverQH	ngram_rank	neverqh_rank	F	-	N	neverqh_rank	1	ngram_rank=neverqh_rank/qhF
1RB1LA_0RC0RD_0LD---_0LA1RD	4	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB1LA_0RC0RD_1LB1LD_0LA1RD	2	QH	irules	irules	T	3	N	irules(QH,no-checker)	1	irules=irules/qhT
1RB1LA_0RC0RD_1LC0LA_0RB0RC	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	2	ngram_rank=neverqh_rank/qhF;irules=irules/qhF
1RB1LA_0RC0RD_1LC0RA_0RB0LC	1	undecided	-	-	-	-	N	-	0	
1RB1LA_0RC0RD_1LD0LC_0LA1RD	2	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB1LA_0RC1LD_1LC0RB_0LA0LD	1	neverQH	ngram_rank	neverqh_rank	F	-	N	neverqh_rank	1	ngram_rank=neverqh_rank/qhF
1RB1LA_0RC1RD_1LC1LA_1LA1RB	1	QH	rwlrank	wraprwl	T	5	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT
1RB1LA_0RC1RD_1LC1LD_0LA0RB	2	undecided	-	-	-	-	N	-	0	
1RB1LA_1LA0LC_1RD0LC_0RD0LA	1	undecided	-	-	-	-	N	-	0	
1RB1LA_1LA0LC_1RD0LC_0RD1LB	1	undecided	-	-	-	-	N	-	0	
1RB1LA_1LA0RC_1LC1RD_1LD0RB	1	QH	ngram_quiet	wrapngram	T	20	Y	wrap(Wrap.v)	3	ngram_quiet=wrapngram/qhT;rwlrank=wraprwl/qhT;irules=irules/qhT
1RB1LA_1LB1RC_0RC1LD_1LA0LD	1	undecided	-	-	-	-	N	-	0	
1RB1LA_1LC0RB_0LD0RA_1LC1RD	1	undecided	-	-	-	-	N	-	0	
1RB1LA_1LC0RB_1LD0RA_0LC1RA	1	undecided	-	-	-	-	N	-	0	
1RB1LA_1LC0RB_1LD1RB_0LC0RA	1	undecided	-	-	-	-	N	-	0	
1RB1LA_1LC0RB_1LD1RC_0LC0LA	1	undecided	-	-	-	-	N	-	0	
1RB1LA_1LC0RD_0RA0LC_0LA1RD	3	undecided	-	-	-	-	N	-	0	
1RB1LA_1LC0RD_1RA1LC_0LA1RD	2	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB1LA_1LC1LD_0RD0LC_1RA1RD	1	neverQH	ngram_rank	neverqh_rank	F	-	N	neverqh_rank	1	ngram_rank=neverqh_rank/qhF
1RB1LA_1LC1RD_---1LD_1LA0RA	3	QH	rwlrank	wraprwl	T	3	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT
1RB1LA_1LC1RD_---1RB_1LA1RB	3	QH	rwlrank	wraprwl	T	3	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT
